date,playername,teamname,position,kills,deaths,assists,totalgold,total cs,split,KDA
2022-01-23 15:45:36,Hades,Rensga eSports,bot,1,2,2,9730,237.0,Split 1,1.5
2022-01-23 15:45:36,Guard,Rensga eSports,sup,0,6,3,5593,20.0,Split 1,0.5
2022-01-23 15:45:36,,Liberty,team,16,3,25,54937,,Split 1,13.67
2022-01-23 15:45:36,,Rensga eSports,team,3,16,9,43579,,Split 1,0.75
2022-01-23 16:53:17,Guigo,RED Canids,top,0,3,9,11881,250.0,Split 1,3.0
2022-01-23 16:53:17,Aegis,RED Canids,jng,3,4,6,15655,297.0,Split 1,2.25
2022-01-23 16:53:17,Grevthar,RED Canids,mid,6,1,10,15633,261.0,Split 1,16.0
2022-01-23 16:53:17,TitaN,RED Canids,bot,8,1,7,19334,398.0,Split 1,15.0
2022-01-23 16:53:17,Jojo,RED Canids,sup,3,4,10,9436,40.0,Split 1,3.25
2022-01-23 16:53:17,Robo,LOUD,top,3,5,4,15509,294.0,Split 1,1.4
2022-01-23 16:53:17,Tay,LOUD,jng,1,4,6,11912,232.0,Split 1,1.75
2022-01-23 16:53:17,tinowns,LOUD,mid,3,6,4,13182,291.0,Split 1,1.17
2022-01-23 16:53:17,DudsTheBoy,LOUD,bot,4,3,2,15212,324.0,Split 1,2.0
2022-01-23 16:53:17,Ceos,LOUD,sup,2,2,8,9199,38.0,Split 1,5.0
2022-01-23 16:53:17,,RED Canids,team,20,13,42,71939,,Split 1,4.77
2022-01-23 16:53:17,,LOUD,team,13,20,24,65014,,Split 1,1.85
2022-01-23 18:05:53,Tyrin,INTZ,top,5,4,5,20341,398.0,Split 1,2.5
2022-01-23 18:05:53,Yampi,INTZ,jng,4,6,9,14586,220.0,Split 1,2.17
2022-01-23 18:05:53,Kick,INTZ,mid,2,2,8,18925,390.0,Split 1,5.0
2022-01-23 18:05:53,micaO,INTZ,bot,3,4,7,17040,358.0,Split 1,2.5
2022-01-23 18:05:53,Decoy,INTZ,sup,1,5,12,10489,36.0,Split 1,2.6
2022-01-23 18:05:53,DoRun,Netshoes Miners,top,1,1,8,17447,384.0,Split 1,9.0
2022-01-23 18:05:53,Croc,Netshoes Miners,jng,2,4,13,13551,206.0,Split 1,3.75
2022-01-23 18:05:53,Anyyy,Netshoes Miners,mid,6,4,10,19158,392.0,Split 1,4.0
2022-01-23 18:05:53,Drop,Netshoes Miners,bot,12,3,5,21807,412.0,Split 1,5.67
2022-01-23 18:05:53,Hawk,Netshoes Miners,sup,0,3,14,10109,59.0,Split 1,4.67
2022-01-23 18:05:53,,INTZ,team,15,21,41,81381,,Split 1,2.67
2022-01-23 18:05:53,,Netshoes Miners,team,21,15,50,82072,,Split 1,4.73
2022-01-23 19:29:23,Boal,Flamengo Esports,top,6,4,1,13969,266.0,Split 1,1.75
2022-01-23 19:29:23,asta,Flamengo Esports,jng,1,3,5,10373,192.0,Split 1,2.0
2022-01-23 19:29:23,Tutsz,Flamengo Esports,mid,2,4,5,13544,292.0,Split 1,1.75
