date,teamname,split,result,totalgold,teamkills,teamdeaths,towers,dragons,barons
2018-01-21 16:34:21,paiN Gaming,Split 1,1,15185,11,7,,,
2018-01-21 16:34:21,paiN Gaming,Split 1,1,10021,11,7,,,
2018-01-21 16:34:21,Team oNe eSports,Split 1,0,59759,7,11,2.0,1.0,0.0
2018-01-21 16:34:21,paiN Gaming,Split 1,1,64091,11,7,11.0,3.0,1.0
2018-01-21 17:33:57,RED Canids,Split 1,1,13671,9,0,,,
2018-01-21 17:33:57,RED Canids,Split 1,1,10846,9,0,,,
2018-01-21 17:33:57,RED Canids,Split 1,1,15597,9,0,,,
2018-01-21 17:33:57,RED Canids,Split 1,1,14420,9,0,,,
2018-01-21 17:33:57,RED Canids,Split 1,1,9416,9,0,,,
2018-01-21 17:33:57,ProGaming Esports,Split 1,0,11477,0,9,,,
2018-01-21 17:33:57,ProGaming Esports,Split 1,0,8633,0,9,,,
2018-01-21 17:33:57,ProGaming Esports,Split 1,0,10323,0,9,,,
2018-01-21 17:33:57,ProGaming Esports,Split 1,0,11720,0,9,,,
2018-01-21 17:33:57,ProGaming Esports,Split 1,0,7360,0,9,,,
2018-01-21 17:33:57,RED Canids,Split 1,1,63950,9,0,9.0,1.0,2.0
2018-01-21 17:33:57,ProGaming Esports,Split 1,0,49513,0,9,1.0,0.0,0.0
2018-01-21 18:26:37,ProGaming Esports,Split 1,1,14001,15,3,,,
2018-01-21 18:26:37,ProGaming Esports,Split 1,1,14272,15,3,,,
2018-01-21 18:26:37,ProGaming Esports,Split 1,1,15774,15,3,,,
2018-01-21 18:26:37,ProGaming Esports,Split 1,1,15532,15,3,,,
2018-01-21 18:26:37,ProGaming Esports,Split 1,1,10849,15,3,,,
2018-01-21 18:26:37,RED Canids,Split 1,0,13052,3,15,,,
2018-01-21 18:26:37,RED Canids,Split 1,0,9985,3,15,,,
2018-01-21 18:26:37,RED Canids,Split 1,0,12236,3,15,,,
2018-01-21 18:26:37,RED Canids,Split 1,0,12741,3,15,,,
2018-01-21 18:26:37,RED Canids,Split 1,0,8776,3,15,,,
2018-01-21 18:26:37,ProGaming Esports,Split 1,1,70428,15,3,11.0,2.0,2.0
2018-01-21 18:26:37,RED Canids,Split 1,0,56790,3,15,1.0,1.0,0.0
2018-01-21 19:24:12,RED Canids,Split 1,1,17514,15,15,,,
2018-01-21 19:24:12,RED Canids,Split 1,1,14532,15,15,,,
2018-01-21 19:24:12,RED Canids,Split 1,1,16021,15,15,,,
2018-01-21 19:24:12,RED Canids,Split 1,1,19196,15,15,,,
2018-01-21 19:24:12,RED Canids,Split 1,1,12613,15,15,,,
2018-01-21 19:24:12,ProGaming Esports,Split 1,0,13485,15,15,,,
2018-01-21 19:24:12,ProGaming Esports,Split 1,0,14179,15,15,,,
2018-01-21 19:24:12,ProGaming Esports,Split 1,0,15616,15,15,,,
2018-01-21 19:24:12,ProGaming Esports,Split 1,0,20346,15,15,,,
2018-01-21 19:24:12,ProGaming Esports,Split 1,0,12461,15,15,,,
2018-01-21 19:24:12,RED Canids,Split 1,1,79876,15,15,9.0,4.0,1.0
2018-01-21 19:24:12,ProGaming Esports,Split 1,0,76087,15,15,6.0,1.0,1.0
2018-01-27 15:10:50,RED Canids,Split 1,1,15256,24,12,,,
2018-01-27 15:10:50,RED Canids,Split 1,1,13830,24,12,,,
2018-01-27 15:10:50,RED Canids,Split 1,1,17055,24,12,,,
2018-01-27 15:10:50,RED Canids,Split 1,1,19216,24,12,,,
2018-01-27 15:10:50,RED Canids,Split 1,1,12879,24,12,,,
2018-01-27 15:10:50,CNB e-Sports Club,Split 1,0,13863,12,24,,,
2018-01-27 15:10:50,CNB e-Sports Club,Split 1,0,11150,12,24,,,
