playername,teamname,position,kills,deaths,assists,totalgold,total cs,KDA
Damage,paiN Gaming,sup,1,5,13,7020,32.0,2.8
Kiari,Liberty,top,0,4,1,7227,154.0,0.25
Disamis,Liberty,jng,1,3,0,7788,150.0,0.33
Krastyel,Liberty,mid,2,3,1,9455,224.0,1.0
Matsukaze,Liberty,bot,2,5,0,9017,202.0,0.4
Wos,Liberty,sup,0,5,2,5533,43.0,0.4
,paiN Gaming,team,20,5,51,53661,,14.2
,Liberty,team,5,20,4,39020,,0.45
Wizer,paiN Gaming,top,3,3,1,12200,282.0,1.33
CarioK,paiN Gaming,jng,1,7,5,10018,181.0,0.86
dyNquedo,paiN Gaming,mid,1,3,4,11014,255.0,1.67
Trigo,paiN Gaming,bot,2,3,4,10756,230.0,2.0
Damage,paiN Gaming,sup,1,6,2,6736,45.0,0.5
Parang,KaBuM! e-Sports,top,8,1,5,12826,236.0,13.0
Wiz,KaBuM! e-Sports,jng,4,3,12,11944,198.0,5.33
Hauz,KaBuM! e-Sports,mid,5,1,11,13292,261.0,16.0
Disave,KaBuM! e-Sports,bot,4,1,9,14555,302.0,13.0
Scuro,KaBuM! e-Sports,sup,1,2,13,7725,31.0,7.0
,paiN Gaming,team,8,22,16,50724,,1.09
,KaBuM! e-Sports,team,22,8,50,60342,,9.0
Guigo,RED Canids,top,5,6,2,14196,291.0,1.17
Aegis,RED Canids,jng,3,6,5,12910,239.0,1.33
Grevthar,RED Canids,mid,3,5,6,12548,268.0,1.8
TitaN,RED Canids,bot,0,1,9,14630,323.0,9.0
Jojo,RED Canids,sup,2,1,5,8238,39.0,7.0
Kiari,Liberty,top,3,5,9,13467,248.0,2.4
Disamis,Liberty,jng,6,1,10,14202,224.0,16.0
Krastyel,Liberty,mid,5,1,10,17340,351.0,15.0
Matsukaze,Liberty,bot,4,2,8,15699,299.0,6.0
Wos,Liberty,sup,1,4,11,8598,29.0,3.0
,RED Canids,team,13,19,27,62522,,2.11
,Liberty,team,19,13,48,69306,,5.15
DoRun,Netshoes Miners,top,3,3,6,11912,208.0,3.0
Croc,Netshoes Miners,jng,3,1,8,12588,200.0,11.0
Anyyy,Netshoes Miners,mid,2,1,9,12911,262.0,11.0
Drop,Netshoes Miners,bot,5,1,5,15101,284.0,10.0
Hawk,Netshoes Miners,sup,2,2,9,8826,50.0,5.5
Wizer,paiN Gaming,top,0,4,2,11847,308.0,0.5
CarioK,paiN Gaming,jng,3,2,5,12136,219.0,4.0
dyNquedo,paiN Gaming,mid,4,3,3,13490,319.0,2.33
Trigo,paiN Gaming,bot,1,3,5,12097,267.0,2.0
Damage,paiN Gaming,sup,0,3,7,7109,43.0,2.33
,Netshoes Miners,team,15,8,37,61338,,6.5
,paiN Gaming,team,8,15,22,56679,,2.0
Parang,KaBuM! e-Sports,top,7,3,10,14873,263.0,5.67
Wiz,KaBuM! e-Sports,jng,1,2,18,10086,138.0,9.5
Hauz,KaBuM! e-Sports,mid,6,0,10,12308,224.0,inf
Disave,KaBuM! e-Sports,bot,7,0,8,15732,315.0,inf
Scuro,KaBuM! e-Sports,sup,1,1,14,7422,34.0,15.0
Ayel,Rensga eSports,top,1,5,2,9285,204.0,0.6
Minerva,Rensga eSports,jng,1,2,4,9859,208.0,2.5
Goku,Rensga eSports,mid,2,7,3,10280,259.0,0.71
Hades,Rensga eSports,bot,2,3,0,11843,289.0,0.67
Guard,Rensga eSports,sup,0,5,2,5618,32.0,0.4
,KaBuM! e-Sports,team,22,6,60,60421,,13.67
,Rensga eSports,team,6,22,11,46885,,0.77
fNb,FURIA,top,0,1,8,10852,263.0,8.0
Ranger,FURIA,jng,7,1,1,10639,142.0,8.0
Envy,FURIA,mid,2,0,8,11089,231.0,inf
Netuno,FURIA,bot,4,0,5,12287,258.0,inf
RedBert,FURIA,sup,1,0,9,7275,29.0,inf
Tyrin,INTZ,top,0,2,2,8105,201.0,1.0
Yampi,INTZ,jng,0,5,1,7318,150.0,0.2
Kick,INTZ,mid,1,2,0,9753,237.0,0.5
micaO,INTZ,bot,1,2,1,9490,224.0,1.0
Decoy,INTZ,sup,0,3,1,5193,33.0,0.33
,FURIA,team,14,2,31,52142,,22.5
,INTZ,team,2,14,5,39859,,0.5
Robo,LOUD,top,1,3,4,11705,228.0,1.67
Tay,LOUD,jng,3,4,7,11069,167.0,2.5
tinowns,LOUD,mid,3,2,7,12324,225.0,5.0
DudsTheBoy,LOUD,bot,6,3,5,15682,312.0,3.67
Ceos,LOUD,sup,0,2,9,7444,31.0,4.5
Boal,Flamengo Esports,top,2,2,6,12124,263.0,4.0
asta,Flamengo Esports,jng,0,3,6,8924,163.0,2.0
Tutsz,Flamengo Esports,mid,4,3,5,12438,242.0,3.0
Flare,Flamengo Esports,bot,6,2,3,14092,300.0,4.5
Gyeong,Flamengo Esports,sup,2,3,9,7490,38.0,3.67
,LOUD,team,13,14,32,58224,,3.21
,Flamengo Esports,team,14,13,29,55068,,3.31
Guigo,RED Canids,top,4,2,11,12130,218.0,7.5
Aegis,RED Canids,jng,5,1,10,11010,149.0,15.0
Grevthar,RED Canids,mid,6,1,9,12135,223.0,15.0
TitaN,RED Canids,bot,6,4,7,13716,249.0,3.25
Jojo,RED Canids,sup,0,3,15,7608,23.0,5.0
Parang,KaBuM! e-Sports,top,2,5,2,9851,229.0,0.8
Wiz,KaBuM! e-Sports,jng,1,5,7,8251,139.0,1.6
Hauz,KaBuM! e-Sports,mid,5,4,6,10628,236.0,2.75
Disave,KaBuM! e-Sports,bot,2,1,4,10518,219.0,6.0
Scuro,KaBuM! e-Sports,sup,1,6,6,6689,35.0,1.17
,RED Canids,team,21,11,52,56599,,6.64
,KaBuM! e-Sports,team,11,21,25,45937,,1.71
Kiari,Liberty,top,11,2,7,17160,271.0,9.0
Disamis,Liberty,jng,5,2,17,13701,189.0,11.0
Krastyel,Liberty,mid,2,3,14,13901,298.0,5.33
Matsukaze,Liberty,bot,8,1,9,17147,330.0,17.0
Wos,Liberty,sup,0,2,15,8225,34.0,7.5
Robo,LOUD,top,2,7,4,12951,287.0,0.86
Tay,LOUD,jng,2,8,2,9931,173.0,0.5
tinowns,LOUD,mid,1,3,6,11789,280.0,2.33
DudsTheBoy,LOUD,bot,5,6,3,14705,338.0,1.33
Ceos,LOUD,sup,0,2,7,7259,23.0,3.5
,Liberty,team,26,10,62,70134,,8.8
,LOUD,team,10,26,22,56635,,1.23
Ayel,Rensga eSports,top,1,3,6,11132,245.0,2.33
Minerva,Rensga eSports,jng,4,1,10,12796,204.0,14.0
Goku,Rensga eSports,mid,10,2,8,17136,340.0,9.0
Hades,Rensga eSports,bot,2,0,13,13944,291.0,inf
Guard,Rensga eSports,sup,1,3,14,8068,39.0,5.0
DoRun,Netshoes Miners,top,2,3,3,15573,299.0,1.67
Croc,Netshoes Miners,jng,4,2,3,13695,235.0,3.5
Anyyy,Netshoes Miners,mid,0,4,7,13270,325.0,1.75
Drop,Netshoes Miners,bot,2,2,3,11677,251.0,2.5
Hawk,Netshoes Miners,sup,1,7,3,7826,43.0,0.57
,Rensga eSports,team,18,9,51,63076,,7.67
,Netshoes Miners,team,9,18,19,62041,,1.56
Wizer,paiN Gaming,top,1,2,4,12676,280.0,2.5
CarioK,paiN Gaming,jng,2,6,2,9712,150.0,0.67
dyNquedo,paiN Gaming,mid,3,2,3,10951,239.0,3.0
Trigo,paiN Gaming,bot,2,2,4,11564,267.0,3.0
Damage,paiN Gaming,sup,1,3,5,7044,37.0,2.0
fNb,FURIA,top,2,2,3,12046,242.0,2.5
Ranger,FURIA,jng,2,3,8,10697,190.0,3.33
Envy,FURIA,mid,5,2,7,13090,267.0,6.0
Netuno,FURIA,bot,6,0,4,15051,299.0,inf
RedBert,FURIA,sup,0,2,10,8162,43.0,5.0
,paiN Gaming,team,9,15,18,51947,,1.8
,FURIA,team,15,9,32,59046,,5.22
Tyrin,INTZ,top,3,0,6,14374,304.0,inf
Yampi,INTZ,jng,1,0,8,10515,174.0,inf
Kick,INTZ,mid,4,1,6,12753,224.0,10.0
micaO,INTZ,bot,2,0,10,13746,273.0,inf
Decoy,INTZ,sup,3,1,7,8917,35.0,10.0
Boal,Flamengo Esports,top,0,4,1,12721,318.0,0.25
asta,Flamengo Esports,jng,1,2,0,9457,182.0,0.5
Tutsz,Flamengo Esports,mid,0,1,1,10560,261.0,1.0
Flare,Flamengo Esports,bot,1,1,0,12167,311.0,1.0
Gyeong,Flamengo Esports,sup,0,5,2,6223,36.0,0.4
,INTZ,team,13,2,37,60305,,25.0
,Flamengo Esports,team,2,13,4,51128,,0.46
DoRun,Netshoes Miners,top,2,4,2,8125,155.0,1.0
Croc,Netshoes Miners,jng,3,4,4,9515,159.0,1.75
Anyyy,Netshoes Miners,mid,2,3,5,11568,261.0,2.33
Drop,Netshoes Miners,bot,1,4,2,11513,269.0,0.75
Hawk,Netshoes Miners,sup,0,3,3,6260,32.0,1.0
Guigo,RED Canids,top,4,1,8,13463,262.0,12.0
Aegis,RED Canids,jng,2,4,14,11667,203.0,4.0
Grevthar,RED Canids,mid,5,1,9,13524,284.0,14.0
TitaN,RED Canids,bot,7,1,9,13527,253.0,16.0
Jojo,RED Canids,sup,0,1,9,7071,36.0,9.0
,Netshoes Miners,team,8,18,16,46981,,1.33
,RED Canids,team,18,8,49,59252,,8.38
Robo,LOUD,top,1,0,6,10667,239.0,inf
Tay,LOUD,jng,1,1,9,8933,158.0,10.0
tinowns,LOUD,mid,1,1,6,9696,192.0,7.0
DudsTheBoy,LOUD,bot,7,0,3,15816,288.0,inf
Ceos,LOUD,sup,0,0,10,6360,25.0,inf
Tyrin,INTZ,top,0,1,1,9691,225.0,1.0
Yampi,INTZ,jng,0,2,2,6788,129.0,1.0
Kick,INTZ,mid,0,2,2,7415,182.0,1.0
micaO,INTZ,bot,2,2,0,9850,237.0,1.0
Decoy,INTZ,sup,0,3,1,4998,29.0,0.33
,LOUD,team,10,2,34,51472,,22.0
,INTZ,team,2,10,6,38742,,0.8
Parang,KaBuM! e-Sports,top,4,2,8,11806,223.0,6.0
Wiz,KaBuM! e-Sports,jng,7,2,11,12315,179.0,9.0
Hauz,KaBuM! e-Sports,mid,8,1,11,14440,266.0,19.0
Disave,KaBuM! e-Sports,bot,4,3,7,11282,232.0,3.67
Scuro,KaBuM! e-Sports,sup,2,1,15,7618,11.0,17.0
Kiari,Liberty,top,3,6,2,10425,219.0,0.83
Disamis,Liberty,jng,1,4,5,8719,156.0,1.5
Krastyel,Liberty,mid,1,6,4,8657,188.0,0.83
Matsukaze,Liberty,bot,2,4,3,10834,237.0,1.25
Wos,Liberty,sup,2,5,7,6315,31.0,1.8
,KaBuM! e-Sports,team,25,9,52,57461,,8.56
,Liberty,team,9,25,21,44950,,1.2
Boal,Flamengo Esports,top,1,1,0,11736,263.0,1.0
asta,Flamengo Esports,jng,3,4,1,10464,175.0,1.0
Tutsz,Flamengo Esports,mid,1,2,2,12210,277.0,1.5
Flare,Flamengo Esports,bot,0,2,3,13164,337.0,1.5
Gyeong,Flamengo Esports,sup,1,5,2,7149,37.0,0.6
Wizer,paiN Gaming,top,3,0,7,15326,314.0,inf
CarioK,paiN Gaming,jng,3,3,4,11599,190.0,2.33
dyNquedo,paiN Gaming,mid,1,1,7,14475,304.0,8.0
Trigo,paiN Gaming,bot,6,2,6,17169,337.0,6.0
Damage,paiN Gaming,sup,1,0,11,8825,32.0,inf
,Flamengo Esports,team,6,14,8,54723,,1.0
,paiN Gaming,team,14,6,35,67394,,8.17
Parang,KaBuM! e-Sports,top,10,0,7,13988,265.0,inf
Wiz,KaBuM! e-Sports,jng,3,2,19,9918,124.0,11.0
Hauz,KaBuM! e-Sports,mid,5,2,8,10941,235.0,6.5
Disave,KaBuM! e-Sports,bot,5,4,10,10943,201.0,3.75
Scuro,KaBuM! e-Sports,sup,1,1,20,7416,12.0,21.0
Robo,LOUD,top,2,5,3,8695,180.0,1.0
Tay,LOUD,jng,2,5,1,7518,127.0,0.6
tinowns,LOUD,mid,1,4,4,8604,200.0,1.25
DudsTheBoy,LOUD,bot,4,5,3,13157,261.0,1.4
Ceos,LOUD,sup,0,5,6,5819,32.0,1.2
,KaBuM! e-Sports,team,24,9,64,53206,,9.78
,LOUD,team,9,24,17,43793,,1.08
Guigo,RED Canids,top,0,4,1,9371,212.0,0.25
Aegis,RED Canids,jng,3,3,1,9098,167.0,1.33
Grevthar,RED Canids,mid,0,0,1,9732,255.0,inf
TitaN,RED Canids,bot,1,1,2,10117,254.0,3.0
Jojo,RED Canids,sup,0,3,3,5645,16.0,1.0
fNb,FURIA,top,2,0,3,13122,266.0,inf
Ranger,FURIA,jng,1,0,7,10040,166.0,inf
Envy,FURIA,mid,4,1,1,11100,229.0,5.0
Netuno,FURIA,bot,4,2,2,11251,229.0,3.0
RedBert,FURIA,sup,0,1,3,6591,36.0,3.0
,RED Canids,team,4,11,8,43963,,1.09
,FURIA,team,11,4,16,52104,,6.75
Wizer,paiN Gaming,top,0,6,1,11179,297.0,0.17
CarioK,paiN Gaming,jng,0,4,3,8302,145.0,0.75
dyNquedo,paiN Gaming,mid,2,3,1,12705,264.0,1.0
Trigo,paiN Gaming,bot,2,2,2,12299,272.0,2.0
Damage,paiN Gaming,sup,0,1,3,6162,35.0,3.0
Tyrin,INTZ,top,4,0,8,13931,287.0,inf
Yampi,INTZ,jng,4,1,7,10712,162.0,11.0
Kick,INTZ,mid,3,0,11,13785,308.0,inf
micaO,INTZ,bot,5,1,7,13582,271.0,12.0
Decoy,INTZ,sup,0,2,11,7751,39.0,5.5
,paiN Gaming,team,4,16,10,50647,,0.88
,INTZ,team,16,4,44,59761,,15.0
Kiari,Liberty,top,1,0,9,10801,210.0,inf
Disamis,Liberty,jng,4,1,12,11535,169.0,16.0
Krastyel,Liberty,mid,2,0,11,13538,293.0,inf
Matsukaze,Liberty,bot,9,1,6,14233,251.0,15.0
Wos,Liberty,sup,1,1,16,8322,15.0,17.0
DoRun,Netshoes Miners,top,1,3,1,10001,237.0,0.67
Croc,Netshoes Miners,jng,1,5,1,8671,144.0,0.4
Anyyy,Netshoes Miners,mid,1,5,1,10287,249.0,0.4
Drop,Netshoes Miners,bot,0,2,1,9820,258.0,0.5
Hawk,Netshoes Miners,sup,0,2,3,5884,11.0,1.5
,Liberty,team,17,3,54,58429,,23.67
,Netshoes Miners,team,3,17,7,44663,,0.59
fNb,FURIA,top,11,2,9,16984,259.0,10.0
Ranger,FURIA,jng,1,3,15,10455,160.0,5.33
Envy,FURIA,mid,4,3,5,11525,212.0,3.0
Netuno,FURIA,bot,6,3,12,14607,275.0,6.0
RedBert,FURIA,sup,2,3,12,8382,38.0,4.67
Ayel,Rensga eSports,top,4,5,5,9649,167.0,1.8
Minerva,Rensga eSports,jng,1,5,11,9469,155.0,2.4
Goku,Rensga eSports,mid,5,4,6,11808,240.0,2.75
Hades,Rensga eSports,bot,2,5,7,11838,256.0,1.8
Guard,Rensga eSports,sup,2,5,7,7551,39.0,1.8
,FURIA,team,24,14,53,61953,,5.5
,Rensga eSports,team,14,24,36,50315,,2.08
Ayel,Rensga eSports,top,0,2,7,11089,233.0,3.5
Minerva,Rensga eSports,jng,5,7,5,12962,211.0,1.43
Goku,Rensga eSports,mid,2,3,5,14155,327.0,2.33
Hades,Rensga eSports,bot,3,4,5,15648,342.0,2.0
Guard,Rensga eSports,sup,0,4,7,7717,44.0,1.75
Boal,Flamengo Esports,top,3,2,9,14172,229.0,6.0
asta,Flamengo Esports,jng,7,3,7,15087,212.0,4.67
Tutsz,Flamengo Esports,mid,3,1,16,15361,320.0,19.0
Flare,Flamengo Esports,bot,4,1,13,15543,328.0,17.0
Gyeong,Flamengo Esports,sup,3,3,13,9655,35.0,5.33
,Rensga eSports,team,10,20,29,61571,,1.95
,Flamengo Esports,team,20,10,58,69818,,7.8
Tyrin,INTZ,top,3,3,1,9532,215.0,1.33
Yampi,INTZ,jng,1,6,6,7405,122.0,1.17
Kick,INTZ,mid,2,2,4,9206,208.0,3.0
micaO,INTZ,bot,1,3,2,10055,242.0,1.0
Decoy,INTZ,sup,0,3,7,6013,34.0,2.33
Ayel,Rensga eSports,top,3,2,8,9974,184.0,5.5
Minerva,Rensga eSports,jng,4,2,8,11085,193.0,6.0
Goku,Rensga eSports,mid,3,1,7,12764,284.0,10.0
Hades,Rensga eSports,bot,4,2,6,12245,231.0,5.0
Guard,Rensga eSports,sup,3,0,11,8322,11.0,inf
,INTZ,team,7,17,20,42211,,1.59
,Rensga eSports,team,17,7,40,54390,,8.14
Boal,Flamengo Esports,top,3,5,7,14394,264.0,2.0
asta,Flamengo Esports,jng,0,3,10,11412,185.0,3.33
Tutsz,Flamengo Esports,mid,9,0,6,16006,277.0,inf
Flare,Flamengo Esports,bot,7,0,8,19387,398.0,inf
Gyeong,Flamengo Esports,sup,0,2,11,8922,43.0,5.5
Guigo,RED Canids,top,5,3,2,15213,299.0,2.33
Aegis,RED Canids,jng,1,4,8,12425,237.0,2.25
Avenger,RED Canids,mid,0,4,7,13848,340.0,1.75
TitaN,RED Canids,bot,3,5,4,15688,344.0,1.4
Jojo,RED Canids,sup,1,3,7,8309,19.0,2.67
,Flamengo Esports,team,19,10,42,70121,,6.1
,RED Canids,team,10,19,28,65483,,2.0
fNb,FURIA,top,4,2,5,15735,331.0,4.5
Ranger,FURIA,jng,0,5,9,10495,175.0,1.8
Envy,FURIA,mid,3,2,5,13461,256.0,4.0
Netuno,FURIA,bot,2,2,8,13196,277.0,5.0
RedBert,FURIA,sup,5,1,6,9839,25.0,11.0
Kiari,Liberty,top,0,3,5,13287,294.0,1.67
Disamis,Liberty,jng,6,3,3,12257,190.0,3.0
Krastyel,Liberty,mid,0,4,6,12095,255.0,1.5
Matsukaze,Liberty,bot,5,3,4,13869,285.0,3.0
Wos,Liberty,sup,1,1,9,7644,34.0,10.0
,FURIA,team,14,12,33,62726,,3.92
,Liberty,team,12,14,27,59152,,2.79
Robo,LOUD,top,1,1,7,15160,317.0,8.0
Tay,LOUD,jng,3,2,9,10667,152.0,6.0
tinowns,LOUD,mid,7,2,8,15483,325.0,7.5
DudsTheBoy,LOUD,bot,3,0,10,14138,319.0,inf
Ceos,LOUD,sup,2,1,11,8104,12.0,13.0
Wizer,paiN Gaming,top,0,4,0,10765,252.0,0.0
CarioK,paiN Gaming,jng,2,5,1,10452,197.0,0.6
dyNquedo,paiN Gaming,mid,1,3,3,11783,263.0,1.33
Trigo,paiN Gaming,bot,3,2,0,13675,321.0,1.5
Damage,paiN Gaming,sup,0,2,2,6976,26.0,1.0
,LOUD,team,16,6,45,63552,,10.17
,paiN Gaming,team,6,16,6,53651,,0.75
DoRun,Netshoes Miners,top,1,2,1,8839,203.0,1.0
Croc,Netshoes Miners,jng,3,4,3,10028,165.0,1.5
Anyyy,Netshoes Miners,mid,1,3,5,10527,223.0,2.0
Celo,Netshoes Miners,bot,5,2,4,12843,262.0,4.5
Hawk,Netshoes Miners,sup,0,8,7,5856,23.0,0.88
Parang,KaBuM! e-Sports,top,5,2,4,12057,236.0,4.5
Wiz,KaBuM! e-Sports,jng,2,3,14,9708,145.0,5.33
Hauz,KaBuM! e-Sports,mid,1,1,9,12346,275.0,10.0
Disave,KaBuM! e-Sports,bot,10,1,4,16408,296.0,14.0
Scuro,KaBuM! e-Sports,sup,1,3,15,7428,30.0,5.33
,Netshoes Miners,team,10,19,20,48093,,1.58
,KaBuM! e-Sports,team,19,10,46,57947,,6.5
Kiari,Liberty,top,6,3,9,16285,319.0,5.0
Disamis,Liberty,jng,3,3,14,11652,168.0,5.67
Krastyel,Liberty,mid,8,2,8,16661,280.0,8.0
Matsukaze,Liberty,bot,4,1,10,14485,287.0,14.0
Wos,Liberty,sup,0,4,14,8440,43.0,3.5
Boal,Flamengo Esports,top,4,5,3,12895,235.0,1.4
asta,Flamengo Esports,jng,3,4,4,11697,182.0,1.75
Tutsz,Flamengo Esports,mid,4,2,4,15712,335.0,4.0
Flare,Flamengo Esports,bot,2,2,7,13206,284.0,4.5
Gyeong,Flamengo Esports,sup,0,8,7,7687,33.0,0.88
,Liberty,team,21,13,55,67523,,5.85
,Flamengo Esports,team,13,21,25,61197,,1.81
Parang,KaBuM! e-Sports,top,0,4,3,11711,248.0,0.75
Wiz,KaBuM! e-Sports,jng,2,2,3,10820,196.0,2.5
Hauz,KaBuM! e-Sports,mid,3,2,2,12492,298.0,2.5
Disave,KaBuM! e-Sports,bot,2,4,4,12978,265.0,1.5
Scuro,KaBuM! e-Sports,sup,0,3,6,6383,29.0,2.0
fNb,FURIA,top,7,2,4,15590,295.0,5.5
Ranger,FURIA,jng,3,2,5,10840,171.0,4.0
Envy,FURIA,mid,1,0,4,13002,314.0,inf
Netuno,FURIA,bot,3,1,2,13270,245.0,5.0
RedBert,FURIA,sup,1,2,7,8154,36.0,4.0
,KaBuM! e-Sports,team,7,15,18,54384,,1.67
,FURIA,team,15,7,22,60856,,5.29
DoRun,Netshoes Miners,top,3,2,3,16482,290.0,3.0
Croc,Netshoes Miners,jng,1,5,11,11777,129.0,2.4
Anyyy,Netshoes Miners,mid,3,3,7,16306,356.0,3.33
Celo,Netshoes Miners,bot,7,3,4,18721,330.0,3.67
Hawk,Netshoes Miners,sup,1,5,8,9186,41.0,1.8
Robo,LOUD,top,0,0,12,10527,60.0,inf
Tay,LOUD,jng,3,3,4,13236,241.0,2.33
tinowns,LOUD,mid,6,2,7,19369,439.0,6.5
DudsTheBoy,LOUD,bot,8,4,3,20841,372.0,2.75
Ceos,LOUD,sup,1,6,11,9218,44.0,2.0
,Netshoes Miners,team,15,18,33,72472,,2.67
,LOUD,team,18,15,37,73191,,3.67
