playername,teamname,position,kills,deaths,assists,totalgold,total cs,KDA
Robo,LOUD,top,3,6,5,14737,286.0,1.33
Tay,LOUD,jng,4,3,4,13744,211.0,2.67
tinowns,LOUD,mid,2,2,10,15930,320.0,6.0
DudsTheBoy,LOUD,bot,9,2,3,17903,347.0,6.0
Ceos,LOUD,sup,1,4,9,8896,39.0,2.5
fNb,FURIA,top,4,4,5,13666,253.0,2.25
Ranger,FURIA,jng,5,3,8,12657,191.0,4.33
Envy,FURIA,mid,4,4,8,14776,306.0,3.0
Netuno,FURIA,bot,3,4,7,15105,329.0,2.5
RedBert,FURIA,sup,1,4,9,8408,46.0,2.5
,LOUD,team,19,17,31,71210,,2.94
,FURIA,team,17,19,37,64612,,2.84
DoRun,Netshoes Miners,top,6,0,7,16682,335.0,inf
Croc,Netshoes Miners,jng,9,2,6,14921,205.0,7.5
Anyyy,Netshoes Miners,mid,3,1,14,15618,321.0,17.0
Drop,Netshoes Miners,bot,3,1,11,16400,366.0,14.0
Hawk,Netshoes Miners,sup,0,3,15,8923,42.0,5.0
Boal,Flamengo Esports,top,2,3,2,14294,342.0,1.33
asta,Flamengo Esports,jng,1,5,3,10584,203.0,0.8
Tutsz,Flamengo Esports,mid,1,4,3,13549,353.0,1.0
Flare,Flamengo Esports,bot,3,3,2,13919,331.0,1.67
Bounty,Flamengo Esports,sup,0,6,2,6817,42.0,0.33
,Netshoes Miners,team,21,7,53,72544,,10.57
,Flamengo Esports,team,7,21,12,59163,,0.9
Parang,KaBuM! e-Sports,top,4,2,6,11485,234.0,5.0
Wiz,KaBuM! e-Sports,jng,2,2,11,8938,146.0,6.5
Hauz,KaBuM! e-Sports,mid,6,0,8,12204,260.0,inf
Disave,KaBuM! e-Sports,bot,2,0,9,11853,237.0,inf
Scuro,KaBuM! e-Sports,sup,1,4,8,6634,28.0,2.25
Tyrin,INTZ,top,1,2,2,9169,229.0,1.5
Yampi,INTZ,jng,1,4,4,7912,148.0,1.25
Kick,INTZ,mid,2,5,2,8435,197.0,0.8
micaO,INTZ,bot,2,3,2,8901,217.0,1.33
Decoy,INTZ,sup,1,1,4,5807,14.0,5.0
,KaBuM! e-Sports,team,15,8,42,51114,,7.12
,INTZ,team,7,15,14,40224,,1.4
Ayel,Rensga eSports,top,1,3,9,13903,264.0,3.33
Minerva,Rensga eSports,jng,5,2,6,14506,229.0,5.5
Goku,Rensga eSports,mid,4,4,7,18453,364.0,2.75
Hades,Rensga eSports,bot,4,4,7,15931,335.0,2.75
Guard,Rensga eSports,sup,0,4,12,8848,11.0,3.0
Guigo,RED Canids,top,7,3,3,17637,343.0,3.33
Aegis,RED Canids,jng,1,3,12,13327,248.0,4.33
Grevthar,RED Canids,mid,2,1,10,15138,303.0,12.0
TitaN,RED Canids,bot,5,3,5,16443,339.0,3.33
Jojo,RED Canids,sup,2,4,12,8863,31.0,3.5
,Rensga eSports,team,14,17,41,71641,,3.24
,RED Canids,team,17,14,42,71408,,4.21
Kiari,Liberty,top,1,0,2,12284,271.0,inf
Disamis,Liberty,jng,1,1,8,10393,157.0,9.0
Krastyel,Liberty,mid,7,1,4,11578,228.0,11.0
Matsukaze,Liberty,bot,6,0,2,12929,247.0,inf
Wos,Liberty,sup,1,1,9,7753,15.0,10.0
Ayel,Rensga eSports,top,1,6,1,10449,262.0,0.33
Minerva,Rensga eSports,jng,1,2,1,7671,145.0,1.0
Goku,Rensga eSports,mid,0,0,2,10136,272.0,inf
Hades,Rensga eSports,bot,1,2,2,9730,237.0,1.5
Guard,Rensga eSports,sup,0,6,3,5593,20.0,0.5
,Liberty,team,16,3,25,54937,,13.67
,Rensga eSports,team,3,16,9,43579,,0.75
Guigo,RED Canids,top,0,3,9,11881,250.0,3.0
Aegis,RED Canids,jng,3,4,6,15655,297.0,2.25
Grevthar,RED Canids,mid,6,1,10,15633,261.0,16.0
TitaN,RED Canids,bot,8,1,7,19334,398.0,15.0
Jojo,RED Canids,sup,3,4,10,9436,40.0,3.25
Robo,LOUD,top,3,5,4,15509,294.0,1.4
Tay,LOUD,jng,1,4,6,11912,232.0,1.75
tinowns,LOUD,mid,3,6,4,13182,291.0,1.17
DudsTheBoy,LOUD,bot,4,3,2,15212,324.0,2.0
Ceos,LOUD,sup,2,2,8,9199,38.0,5.0
,RED Canids,team,20,13,42,71939,,4.77
,LOUD,team,13,20,24,65014,,1.85
Tyrin,INTZ,top,5,4,5,20341,398.0,2.5
Yampi,INTZ,jng,4,6,9,14586,220.0,2.17
Kick,INTZ,mid,2,2,8,18925,390.0,5.0
micaO,INTZ,bot,3,4,7,17040,358.0,2.5
Decoy,INTZ,sup,1,5,12,10489,36.0,2.6
DoRun,Netshoes Miners,top,1,1,8,17447,384.0,9.0
Croc,Netshoes Miners,jng,2,4,13,13551,206.0,3.75
Anyyy,Netshoes Miners,mid,6,4,10,19158,392.0,4.0
Drop,Netshoes Miners,bot,12,3,5,21807,412.0,5.67
Hawk,Netshoes Miners,sup,0,3,14,10109,59.0,4.67
,INTZ,team,15,21,41,81381,,2.67
,Netshoes Miners,team,21,15,50,82072,,4.73
Boal,Flamengo Esports,top,6,4,1,13969,266.0,1.75
asta,Flamengo Esports,jng,1,3,5,10373,192.0,2.0
Tutsz,Flamengo Esports,mid,2,4,5,13544,292.0,1.75
Flare,Flamengo Esports,bot,2,4,4,12009,271.0,1.5
Bounty,Flamengo Esports,sup,0,5,5,7166,40.0,1.0
fNb,FURIA,top,3,2,11,13246,262.0,7.0
Ranger,FURIA,jng,2,2,9,11367,197.0,5.5
Envy,FURIA,mid,5,2,10,13929,280.0,7.5
Netuno,FURIA,bot,10,3,8,15943,296.0,6.0
RedBert,FURIA,sup,0,2,16,8522,48.0,8.0
,Flamengo Esports,team,11,20,20,57061,,1.55
,FURIA,team,20,11,54,63007,,6.73
Wizer,paiN Gaming,top,1,0,6,9948,209.0,inf
CarioK,paiN Gaming,jng,3,0,14,11140,188.0,inf
dyNquedo,paiN Gaming,mid,5,0,10,12561,232.0,inf
Trigo,paiN Gaming,bot,10,0,8,12992,229.0,inf
