playername,teamname,position,kills,deaths,assists,totalgold,total cs,KDA
Robo,paiN Gaming,top,4,5,3,12679,269.0,1.4
CarioK,paiN Gaming,jng,6,5,4,14889,275.0,2.0
tinowns,paiN Gaming,mid,2,0,9,13519,293.0,inf
brTT,paiN Gaming,bot,1,1,2,14229,319.0,3.0
Luci,paiN Gaming,sup,0,4,8,7675,43.0,2.0
Tay,LOUD,top,4,1,3,15700,320.0,7.0
Don Arts,LOUD,jng,3,4,10,13315,244.0,3.25
dyNquedo,LOUD,mid,5,1,8,17575,325.0,13.0
DudsTheBoy,LOUD,bot,3,4,6,14461,311.0,2.25
Ceos,LOUD,sup,0,3,13,8357,40.0,4.33
,paiN Gaming,team,13,15,26,62991,,2.6
,LOUD,team,15,13,40,69408,,4.23
Kiari,Rensga eSports,top,3,7,8,12901,234.0,1.57
Froststrike,Rensga eSports,jng,5,3,2,10986,186.0,2.33
Hauz,Rensga eSports,mid,5,4,7,13631,285.0,3.0
Trigo,Rensga eSports,bot,2,1,7,13225,297.0,9.0
Klyon,Rensga eSports,sup,1,5,7,7368,33.0,1.6
Skeeto,FURIA Esports,top,1,5,11,13016,235.0,2.4
Follow,FURIA Esports,jng,2,4,9,12571,218.0,2.75
Anyyy,FURIA Esports,mid,9,3,10,16374,278.0,6.33
Beenie,FURIA Esports,bot,8,1,3,16657,281.0,11.0
Damage,FURIA Esports,sup,0,3,12,8473,45.0,4.0
,Rensga eSports,team,16,20,31,58111,,2.35
,FURIA Esports,team,20,16,45,67091,,4.06
Bankai,KaBuM! e-Sports,top,0,6,0,10905,247.0,0.0
Mousty,KaBuM! e-Sports,jng,4,5,1,11177,171.0,1.0
Evrot,KaBuM! e-Sports,mid,3,3,5,15219,348.0,2.67
Disave,KaBuM! e-Sports,bot,2,3,6,15307,319.0,2.67
Professor,KaBuM! e-Sports,sup,0,6,6,7518,35.0,1.0
Guigo,RED Canids,top,7,2,11,14949,245.0,9.0
Aegis,RED Canids,jng,2,0,11,13569,263.0,inf
Avenger,RED Canids,mid,7,3,5,15171,300.0,4.0
TitaN,RED Canids,bot,6,3,7,16274,355.0,4.33
Jojo,RED Canids,sup,1,1,17,8938,45.0,18.0
,KaBuM! e-Sports,team,9,23,18,60126,,1.17
,RED Canids,team,23,9,51,68901,,8.22
Boal,INTZ,top,0,2,2,13261,337.0,1.0
Revolta,INTZ,jng,5,2,1,12772,223.0,3.0
Envy,INTZ,mid,1,4,5,13488,264.0,1.5
micaO,INTZ,bot,2,4,5,14580,339.0,1.75
Cabu,INTZ,sup,0,7,3,6509,24.0,0.43
Truklax,Cruzeiro eSports,top,2,1,6,12039,247.0,8.0
Sting,Cruzeiro eSports,jng,3,6,10,14097,241.0,2.17
NOsFerus,Cruzeiro eSports,mid,5,0,8,15008,287.0,inf
pbO,Cruzeiro eSports,bot,7,1,9,16243,280.0,16.0
Hawk,Cruzeiro eSports,sup,1,0,15,9059,51.0,inf
,INTZ,team,8,19,16,60610,,1.26
,Cruzeiro eSports,team,18,8,48,66446,,8.25
Parang,Flamengo Esports,top,5,1,5,11815,193.0,10.0
Ranger,Flamengo Esports,jng,1,1,10,10425,195.0,11.0
Tutsz,Flamengo Esports,mid,2,0,8,11040,229.0,inf
Absolut,Flamengo Esports,bot,9,0,3,13027,227.0,inf
RedBert,Flamengo Esports,sup,1,1,10,7620,42.0,11.0
fNb,Vorax Liberty,top,0,4,2,7889,183.0,0.5
Yampi,Vorax Liberty,jng,1,4,1,8225,160.0,0.5
Krastyel,Vorax Liberty,mid,2,3,1,8932,207.0,1.0
Matsukaze,Vorax Liberty,bot,0,3,2,9683,251.0,0.67
Wos,Vorax Liberty,sup,0,4,3,5594,34.0,0.75
,Flamengo Esports,team,18,3,36,53927,,18.0
,Vorax Liberty,team,3,18,9,40323,,0.67
Guigo,RED Canids,top,5,2,6,12774,249.0,5.5
Aegis,RED Canids,jng,0,0,13,10822,211.0,inf
Avenger,RED Canids,mid,5,3,6,11510,229.0,3.67
TitaN,RED Canids,bot,10,1,6,16900,317.0,16.0
Jojo,RED Canids,sup,0,1,11,7235,28.0,11.0
Boal,INTZ,top,2,6,1,10062,215.0,0.5
Revolta,INTZ,jng,1,4,5,10852,208.0,1.5
Envy,INTZ,mid,0,3,3,9012,224.0,1.0
micaO,INTZ,bot,3,4,3,11650,253.0,1.5
Cabu,INTZ,sup,1,3,2,6008,34.0,1.0
,RED Canids,team,20,7,42,59241,,8.86
,INTZ,team,7,20,14,47584,,1.05
Skeeto,FURIA Esports,top,1,3,0,8169,192.0,0.33
Follow,FURIA Esports,jng,1,3,0,7597,161.0,0.33
Anyyy,FURIA Esports,mid,0,3,2,7909,213.0,0.67
Beenie,FURIA Esports,bot,1,2,0,8772,192.0,0.5
Damage,FURIA Esports,sup,0,2,3,5017,42.0,1.5
Tay,LOUD,top,3,0,7,9653,178.0,inf
Don Arts,LOUD,jng,1,1,7,8128,144.0,8.0
dyNquedo,LOUD,mid,3,0,3,10341,228.0,inf
DudsTheBoy,LOUD,bot,6,2,3,11758,228.0,4.5
Ceos,LOUD,sup,0,0,10,6092,25.0,inf
,FURIA Esports,team,3,13,5,37464,,0.62
,LOUD,team,13,3,30,45972,,14.33
fNb,Vorax Liberty,top,0,2,3,10155,205.0,1.5
Yampi,Vorax Liberty,jng,3,4,1,10180,189.0,1.0
Krastyel,Vorax Liberty,mid,0,3,3,9742,243.0,1.0
Matsukaze,Vorax Liberty,bot,1,3,1,11210,263.0,0.67
Wos,Vorax Liberty,sup,0,4,3,6374,33.0,0.75
Kiari,Rensga eSports,top,1,1,8,10164,158.0,9.0
Froststrike,Rensga eSports,jng,6,1,6,12546,193.0,12.0
Hauz,Rensga eSports,mid,3,1,6,12473,251.0,9.0
Trigo,Rensga eSports,bot,6,0,4,16055,300.0,inf
Klyon,Rensga eSports,sup,0,1,7,7524,41.0,7.0
,Vorax Liberty,team,4,16,11,47661,,0.94
,Rensga eSports,team,16,4,31,58762,,11.75
Bankai,KaBuM! e-Sports,top,2,3,0,8715,201.0,0.67
Mousty,KaBuM! e-Sports,jng,2,5,1,9054,176.0,0.6
Evrot,KaBuM! e-Sports,mid,0,4,3,7967,197.0,0.75
Disave,KaBuM! e-Sports,bot,0,2,3,9185,215.0,1.5
Professor,KaBuM! e-Sports,sup,0,5,2,5253,32.0,0.4
Parang,Flamengo Esports,top,5,0,8,12269,211.0,inf
Ranger,Flamengo Esports,jng,7,1,6,11721,175.0,13.0
Tutsz,Flamengo Esports,mid,3,0,10,11520,245.0,inf
Absolut,Flamengo Esports,bot,4,2,7,11324,228.0,5.5
RedBert,Flamengo Esports,sup,0,1,13,7094,35.0,13.0
,KaBuM! e-Sports,team,4,19,9,40174,,0.68
,Flamengo Esports,team,19,4,44,53928,,15.75
Truklax,Cruzeiro eSports,top,0,4,4,9419,212.0,1.0
Sting,Cruzeiro eSports,jng,1,8,3,7624,138.0,0.5
NOsFerus,Cruzeiro eSports,mid,3,5,0,9731,191.0,0.6
pbO,Cruzeiro eSports,bot,1,5,1,8985,222.0,0.4
Hawk,Cruzeiro eSports,sup,0,9,3,5264,29.0,0.33
Robo,paiN Gaming,top,4,2,13,11095,187.0,8.5
CarioK,paiN Gaming,jng,4,1,15,11018,175.0,19.0
tinowns,paiN Gaming,mid,8,1,8,12806,238.0,16.0
brTT,paiN Gaming,bot,12,1,10,13846,242.0,22.0
Luci,paiN Gaming,sup,3,0,18,8063,37.0,inf
