playername,teamname,position,kills,deaths,assists,totalgold,total cs,KDA
Robo,Flamengo Esports,top,2,3,4,11028,242.0,2.0
Shrimp,Flamengo Esports,jng,4,3,10,11350,183.0,4.67
Goku,Flamengo Esports,mid,5,1,4,12935,268.0,9.0
brTT,Flamengo Esports,bot,5,2,8,13199,279.0,6.5
Luci,Flamengo Esports,sup,1,1,15,9115,49.0,16.0
Zantins,KaBuM! e-Sports,top,6,4,1,12718,269.0,1.75
Ranger,KaBuM! e-Sports,jng,0,2,2,8420,157.0,1.0
dyNquedo,KaBuM! e-Sports,mid,1,2,4,9921,230.0,2.5
TitaN,KaBuM! e-Sports,bot,1,6,3,10866,265.0,0.67
Riyev,KaBuM! e-Sports,sup,1,3,4,6351,22.0,1.67
,Flamengo Esports,team,17,10,41,57627,,5.8
,KaBuM! e-Sports,team,9,17,14,48276,,1.35
Yang,Vivo Keyd,top,2,1,6,12321,269.0,8.0
Laba,Vivo Keyd,jng,4,4,5,12301,188.0,2.25
tockers,Vivo Keyd,mid,5,1,9,15292,320.0,14.0
Klaus,Vivo Keyd,bot,5,2,6,15840,303.0,5.5
Professor,Vivo Keyd,sup,0,4,11,11716,78.0,2.75
Fitz,Uppercut esports,top,1,1,4,15333,326.0,5.0
LeChase,Uppercut esports,jng,2,2,6,14347,212.0,4.0
Anyyy,Uppercut esports,mid,3,5,4,15138,326.0,1.4
Alternative,Uppercut esports,bot,4,3,4,18095,359.0,2.67
Damage,Uppercut esports,sup,2,5,2,10485,48.0,0.8
,Vivo Keyd,team,16,12,37,67470,,4.42
,Uppercut esports,team,12,16,20,73398,,2.0
fNb,ProGaming Esports,top,1,1,1,13870,354.0,2.0
Lima,ProGaming Esports,jng,0,3,0,8880,149.0,0.0
Lynkez,ProGaming Esports,mid,1,3,1,11425,276.0,0.67
Luskka,ProGaming Esports,bot,0,2,0,12262,296.0,0.0
Wos,ProGaming Esports,sup,0,4,0,8893,57.0,0.0
Nyu,Redemption eSports Porto Alegre,top,2,1,9,12956,270.0,11.0
Zuao,Redemption eSports Porto Alegre,jng,2,1,5,12029,203.0,7.0
Krastyel,Redemption eSports Porto Alegre,mid,3,0,8,14760,313.0,inf
DudsTheBoy,Redemption eSports Porto Alegre,bot,5,0,8,17032,374.0,inf
Ceos,Redemption eSports Porto Alegre,sup,1,0,12,9281,11.0,inf
,ProGaming Esports,team,2,13,2,55330,,0.31
,Redemption eSports Porto Alegre,team,13,2,42,66058,,27.5
Tay,INTZ,top,3,0,2,10400,179.0,inf
Shini,INTZ,jng,1,0,4,9497,165.0,inf
Envy,INTZ,mid,2,0,3,10379,221.0,inf
WhiteLotus,INTZ,bot,2,0,3,11074,250.0,inf
RedBert,INTZ,sup,0,0,6,8646,61.0,inf
Duclou,CNB e-Sports Club,top,0,1,0,7924,205.0,0.0
Yampi,CNB e-Sports Club,jng,0,2,0,7940,157.0,0.0
Aslan,CNB e-Sports Club,mid,0,1,0,9934,275.0,0.0
pbO,CNB e-Sports Club,bot,0,1,0,9928,240.0,0.0
Hawk,CNB e-Sports Club,sup,0,3,0,7182,50.0,0.0
,INTZ,team,8,0,18,49996,,inf
,CNB e-Sports Club,team,0,8,0,42908,,0.0
Fitz,Uppercut esports,top,3,2,7,15160,292.0,5.0
LeChase,Uppercut esports,jng,2,2,17,13357,185.0,9.5
Anyyy,Uppercut esports,mid,2,4,9,14488,302.0,2.75
Alternative,Uppercut esports,bot,10,2,7,18856,329.0,8.5
Damage,Uppercut esports,sup,4,4,13,12432,61.0,4.25
Zantins,KaBuM! e-Sports,top,5,2,5,15370,338.0,5.0
Ranger,KaBuM! e-Sports,jng,2,2,11,13074,231.0,6.5
dyNquedo,KaBuM! e-Sports,mid,0,5,8,12177,292.0,1.6
TitaN,KaBuM! e-Sports,bot,5,5,5,14973,321.0,2.0
Riyev,KaBuM! e-Sports,sup,2,7,8,10118,50.0,1.43
,Uppercut esports,team,21,14,53,74293,,5.29
,KaBuM! e-Sports,team,14,21,37,65712,,2.43
Yang,Vivo Keyd,top,2,2,3,13387,318.0,2.5
Laba,Vivo Keyd,jng,1,4,3,11117,195.0,1.0
tockers,Vivo Keyd,mid,0,1,3,11507,283.0,3.0
Klaus,Vivo Keyd,bot,3,2,2,14130,339.0,2.5
Jockster,Vivo Keyd,sup,1,4,4,8226,19.0,1.25
Duclou,CNB e-Sports Club,top,4,1,3,14851,334.0,7.0
Yampi,CNB e-Sports Club,jng,3,2,4,12949,199.0,3.5
Aslan,CNB e-Sports Club,mid,1,1,5,13267,317.0,6.0
pbO,CNB e-Sports Club,bot,5,1,6,16463,309.0,11.0
Hawk,CNB e-Sports Club,sup,0,2,7,11054,72.0,3.5
,Vivo Keyd,team,7,13,15,58367,,1.69
,CNB e-Sports Club,team,13,7,25,68584,,5.43
Nyu,Redemption eSports Porto Alegre,top,4,0,5,12899,257.0,inf
Zuao,Redemption eSports Porto Alegre,jng,5,0,5,13171,189.0,inf
Krastyel,Redemption eSports Porto Alegre,mid,2,1,8,13018,303.0,10.0
DudsTheBoy,Redemption eSports Porto Alegre,bot,2,1,5,14363,336.0,7.0
Ceos,Redemption eSports Porto Alegre,sup,1,0,9,7974,23.0,inf
Tay,INTZ,top,1,3,0,12061,283.0,0.33
Shini,INTZ,jng,1,4,1,8731,145.0,0.5
Envy,INTZ,mid,0,2,2,9946,250.0,1.0
WhiteLotus,INTZ,bot,0,2,1,11820,329.0,0.5
RedBert,INTZ,sup,0,3,1,8730,67.0,0.33
,Redemption eSports Porto Alegre,team,14,2,32,61425,,23.0
,INTZ,team,2,14,5,51288,,0.5
Robo,Flamengo Esports,top,2,0,2,9889,229.0,inf
Shrimp,Flamengo Esports,jng,1,0,10,10549,174.0,inf
Goku,Flamengo Esports,mid,2,0,6,10322,225.0,inf
brTT,Flamengo Esports,bot,6,0,4,14374,286.0,inf
Luci,Flamengo Esports,sup,1,1,8,9048,49.0,9.0
fNb,ProGaming Esports,top,0,1,1,9363,236.0,1.0
Lima,ProGaming Esports,jng,0,3,1,7068,112.0,0.33
Lynkez,ProGaming Esports,mid,0,1,1,9979,281.0,1.0
Luskka,ProGaming Esports,bot,1,3,0,9745,248.0,0.33
Wos,ProGaming Esports,sup,0,4,1,7164,52.0,0.25
,Flamengo Esports,team,12,1,30,54182,,42.0
,ProGaming Esports,team,1,12,4,43319,,0.42
Nyu,Redemption eSports Porto Alegre,top,2,1,3,14636,303.0,5.0
Zuao,Redemption eSports Porto Alegre,jng,2,1,9,14884,254.0,11.0
Krastyel,Redemption eSports Porto Alegre,mid,5,1,6,16692,358.0,11.0
DudsTheBoy,Redemption eSports Porto Alegre,bot,5,1,6,19827,417.0,11.0
Ceos,Redemption eSports Porto Alegre,sup,0,0,12,13059,86.0,inf
Duclou,CNB e-Sports Club,top,0,2,2,13869,366.0,1.0
Yampi,CNB e-Sports Club,jng,1,3,1,11446,197.0,0.67
Aslan,CNB e-Sports Club,mid,2,2,0,17315,431.0,1.0
pbO,CNB e-Sports Club,bot,1,4,3,14811,364.0,1.0
Hawk,CNB e-Sports Club,sup,0,3,4,11133,77.0,1.33
,Redemption eSports Porto Alegre,team,14,4,36,79098,,12.5
,CNB e-Sports Club,team,4,14,10,68574,,1.0
Tay,INTZ,top,2,0,4,12385,267.0,inf
Shini,INTZ,jng,0,2,8,11131,182.0,4.0
Envy,INTZ,mid,1,1,6,11999,249.0,7.0
WhiteLotus,INTZ,bot,5,0,2,14105,284.0,inf
RedBert,INTZ,sup,1,0,6,10208,62.0,inf
fNb,ProGaming Esports,top,0,0,1,10962,305.0,inf
Lima,ProGaming Esports,jng,1,3,1,7969,127.0,0.67
Lynkez,ProGaming Esports,mid,2,4,1,11031,267.0,0.75
Luskka,ProGaming Esports,bot,0,0,1,9903,227.0,inf
Wos,ProGaming Esports,sup,0,2,1,6821,47.0,0.5
,INTZ,team,9,3,26,59828,,11.67
,ProGaming Esports,team,3,9,5,46686,,0.89
Fitz,Uppercut esports,top,2,1,2,12015,275.0,4.0
LeChase,Uppercut esports,jng,2,4,6,10038,157.0,2.0
Anyyy,Uppercut esports,mid,4,2,4,15662,383.0,4.0
Alternative,Uppercut esports,bot,1,2,5,13624,319.0,3.0
Damage,Uppercut esports,sup,0,3,3,9846,69.0,1.0
Robo,Flamengo Esports,top,1,2,5,11972,270.0,3.0
Shrimp,Flamengo Esports,jng,0,3,9,10233,165.0,3.0
Goku,Flamengo Esports,mid,3,2,8,13487,308.0,5.5
brTT,Flamengo Esports,bot,6,0,4,16806,331.0,inf
Luci,Flamengo Esports,sup,2,2,7,9161,40.0,4.5
,Uppercut esports,team,9,12,20,61185,,2.42
,Flamengo Esports,team,12,9,33,61659,,5.0
Yang,Vivo Keyd,top,10,0,7,17819,315.0,inf
Laba,Vivo Keyd,jng,3,2,9,13525,207.0,6.0
tockers,Vivo Keyd,mid,7,1,10,17290,356.0,17.0
micaO,Vivo Keyd,bot,4,2,13,15566,292.0,8.5
Jockster,Vivo Keyd,sup,0,7,15,11579,69.0,2.14
Zantins,KaBuM! e-Sports,top,5,7,4,14960,321.0,1.29
Ranger,KaBuM! e-Sports,jng,1,4,5,12942,240.0,1.5
dyNquedo,KaBuM! e-Sports,mid,1,3,7,11972,268.0,2.67
TitaN,KaBuM! e-Sports,bot,4,6,7,16541,363.0,1.83
Riyev,KaBuM! e-Sports,sup,1,4,8,12541,84.0,2.25
